text,category,label,sub_category
i am muhajir aur mere lye sab se pehly pakistan he agr lakh altaf jese leaders bh is zameen ki behurmati kren un sbko sar e aam phansi deni chahye proud to be a muhajir and pakistani,no_category,0,no_sub_category
doctor sab sahi me ke phd in hate politics wale bhai padhe likhe ho fir kyu ye sab baate karte ho tum bas bowling khelo aur maje lo pictwittercomfkqubqstw,no_category,0,no_sub_category
poore desh me patel obc me aate hain sirf gujrat ko chor kar may be ye manuwadiyon bramanwadi kabhi aapko aarackchan nahi denge ye to jis obc ko mila hai usse bhi nafrat karte hain ye khoon aur chamdi ka frak karne waale bharmhanwadi kisi ke sage nahi hain,no_category,0,no_sub_category
ek dil ek jaan akal ke imitihaan kal kp ke rape aur sawing between two legs after rape honge justified due to cinematic liberty aaj toh rajput ki ho gayi shaan urdu ki gulaam,no_category,0,no_sub_category
i am very sorry to say saaf dil shilpa ke fans hiten ke dil mein kya hai woh bhi samjhte hain hadh hoti hai nafrat ki bhi,no_category,0,no_sub_category
madambahut sochsamajhkr mai ess tarq pe pureymahino mei pahucha hoon k asli wajah muslim hatredhai jo kabipartitionramtemplegaumatabharatmaatakijai vandematram raastragan pak premigaddaarbachche jyada bibiyabachche k safar tai karte huey tajmahal p jake atka hai,no_category,0,no_sub_category
ha rem emoji i hate this emoji mujhe nagini ki hi yaad aati hai,no_category,0,no_sub_category
sir apki fav kon hai iss seasn mai,no_category,0,no_sub_category
mehanat to school me copy karke likhne me b lagti hai fir illegal kyu atanki ko b lagti hai fir nafrat kyu paise lekar ghar ki aurato ka smman bech doge kya paise aur mehanat ke liye aap,no_category,0,no_sub_category
ladla wo hay jo fard jurm kay bad bhi girftar nahi hota money trail nahi deta aur saza nahi milti murder karta hay aur phansi nahi lagti,no_category,0,no_sub_category
aur ye barun ka comeback show tha koi q nahi dekhna chahega lekin fir b nahi dekh paye mai shivani ko q hate karu muze uski acting nahi achchi lagi jo muze laga wo maine kaha wo mera opinion hai,no_category,0,no_sub_category
sir ji ab ye possible nahi hai bahut nafrat hai dono or ab ek hi rasta hai sarhad ke lakir ko mita kar hi ye khatam ho sakta hai jinna sahab to mar gaye or neharu ji bhi ab fir se ek kartay hai dono mulk ko chintskap akhand bharat ek bharat,no_category,0,no_sub_category
achha bta diya hum n show hi nhi dekha tha khbri krta kuch ni sirf maa bnta h kr hina ko hate,no_category,0,no_sub_category
kaahe ke hindu bhamhanwadi se nafrat hai bus,no_category,0,no_sub_category
aj arshi ne jo laat eske pichwade mei mari thi wo photo twit kro bhai juldi se,no_category,0,no_sub_category
ar tag kro ki konkon esh hyena ko munh mei haddi dalna chahta h ya laat marna arshi ki trh,no_category,0,no_sub_category
gf khoon peene k liye hoti hai aur apne babu ko thana thilane k liye bas,no_category,0,no_sub_category
abe bigg boss show me baki contestants bhi hai un se related news deta nhisirf sari updates hina se related deta haiwo bhi hate walikhabari hai bakri chabar chabar karta rehta hina k bare me,no_category,0,no_sub_category
stone miracle of hazrat imam hussain ra wo pathar jis se abhi tak khoon behta hai via youtube,no_category,0,no_sub_category
pappu ka ye saja phansi se kam nahi,no_category,0,no_sub_category
sir phansi nahi sirf looted money wapas chaiya,no_category,0,no_sub_category
aap log kabhi america ki dalali karto kabhi nafrat,no_category,0,no_sub_category
agar isse love kehte toh hum jo karte usse kya hate chawalariya yashikak,no_category,0,no_sub_category
bc pehli baar kisne hail hitler kaha hai nahi toh adolfhitler ko sab sadakchaap wala gaaliyan dete hai,no_category,0,no_sub_category
provinces or banana to achi baat hay magar pakistani bun jana to fakhar ki baat hui na baat baat p nafrat achi nahi,no_category,0,no_sub_category
acha tou un per quota system laga ya unko punjab say baher nikala jaisay mohajiron ko nikala intr sindh say unki industry nationalise hoi unko punjabion nay nafrat say pukra jaisay sindhi pukarty thy punjab ny unko qabool kia lakin sindhi ny hum ko nahi qabol kia,no_category,0,no_sub_category
bhutto sb juke nahi phansi char gayeniazi se kaho mafi nama wapis le kar phansi char jaye phir maanoo or gande message bi chorne pare ge,no_category,0,no_sub_category
pervez musharraf nawaz shareef ki tarhan haramkhoor choor aur awan ka paisa lotnay wala nahe tha atleast haramkhoor nawaz shareef ko phansi do moto gang k sath,no_category,0,no_sub_category
jis country me sab se kam rape hote hn wahan ka qanoon laagu hona chahiye india me tabhi in darindo ka kuch ilaaj ho sakta hai,no_category,0,no_sub_category
dont hate you nanhi si jaan aur ek tu woh b,no_category,0,no_sub_category
ye shocked h kya lat padi h ise arshi se jabardastor khana khayegi n zillat ke laddu salman ne bhijwa diye,no_category,0,no_sub_category
haha farzi hatred spreading moron shaileshgam blocked me,no_category,0,no_sub_category
ye vidya salman se bhut bdi celebrity h,no_category,0,no_sub_category
ajkaal to usse achcha kaha jata hai jo dr ahmed ya tarek fatah jaise mahapurusoko dil wo jaan se mante haiye nafrat pahelane log apke guru ho sakte mera nahimere liye vivekanand jaise sakshiat jo kahete the hindu ya muslim her indians are my brother,no_category,0,no_sub_category
mahajiron se kisi ko bhe nafrat nahe haimostly log mohajiron ki tragedy ko samjhte hainaur but altaf husain ne qatal o gharatkar ke mohajir cause ko badnaam kar dia hai,no_category,0,no_sub_category
haan hm tilak dekr chhod dete hain jalate nahin hain orton ko ya kisi baba ko rape krne ke liye nahin dete hain,no_category,0,no_sub_category
pata nahi log kyun rape karte he farziwal ke sarkar me har km par spa khula he aap bhi add kar do rape kam hi jayenge,no_category,0,no_sub_category
apne personal hatred k liye srk ka nam badnam kr rhe hai chutiyebhakts ko support kaise kr sakta hai koi lolll,no_category,0,no_sub_category
red sy kyunky red tumhe meray khoon ki yaad dilay ga,no_category,0,no_sub_category
is ghar main apko jis insan se nafrat ho samjh lo wo insan nafrat ke layak nahi hai balki izzat ke layak hai or jisko dekhke izzat ka dil kare samjh lo wo bahrupiya hai ye is ghar ki khasiyat hai people are realsapna akash or hinabaki sab fake or banwti hai bb,no_category,0,no_sub_category
ek ara ke bjp ke jila mahamantri shdhirendra singh se sare aam road chaap leader surendra singh or uske bodyguard rinku singh murder karne ke udeshye se aa kar maarvkar chala jata hai or hamari bjp ke karya karta aise hi baithe haikal ye ghatna aap or hum,no_category,0,no_sub_category
pichle month se jio ka net ks se jyada jata bhi nahi hai kuch bhi online dekhe to buffering ke bina sambhav hi nahi hai,no_category,0,no_sub_category
haan khuch log to twtr se v murder kr shakte hain apni ghatiya tweets se aayi,no_category,0,no_sub_category
humidity ka kam tu mat kar rape hua he bhi ki ni case jhut hote he fashion ban gaya he ye fasal mota kamao tum chutya media ki vajah se,no_category,0,no_sub_category
chatukarta ke baare me to maine suna hai bjp ne ab tak ke saare record tor diye lab ke ab to pehchaan hi yahi hai doosri buri zubaan gaaliyan aur sachchayee imaandaari aur aqal se nafrat,no_category,0,no_sub_category
saheb salkyabhutta bun rahe tha or kabhi cort nahi gaye ho pahle pata karo rape ke case forge hote he tum jaise media kanon banwaya,no_category,0,no_sub_category
jiocare mere aria me jio ka speed ks se jyada milta hi nahi hai aisa sambhav hi nahi hai ki bina buffering ka koi video online dekh le,no_category,0,no_sub_category
g ke naam par g mil raha kai,no_category,0,no_sub_category
aisa hi raha to recharge samapt hone ke baad jio chor kar kisi aur me chale jayege,no_category,0,no_sub_category
sanitary napkin bhi sasti ho gayi pahan le bahut khoon fek raha tum logo ki dukan se,no_category,0,no_sub_category
aaj to salman bhi chupke se bol gaye k i hate hina and agree with arshi fir bhi hina k andhe bhakto ko dhik nhi raha,no_category,0,no_sub_category
sabhi jagah to media wale nafrat or jhgde to faila hi rhe hai ab logo k ghar me v suru ho gye,no_category,0,no_sub_category
saal punjab ki awam ka khoon choosnay walay sharif brothers aaj tak saverage ka nizam theak nai kar sakay,no_category,0,no_sub_category
har election ke pahiley janta ke samne kuch tukde fenk diye hate hain,no_category,0,no_sub_category
bhai ji aap ko kya karna hai birthday manaye ya nhi manayeaap apna kaam theek se toh karna sheekhojhut or jumlaa aap k khoon mai hai,no_category,0,no_sub_category
hina ne shilpa ji ko kitna acha bola hai ki humare profession main makeup lagana padta hai aapki aadat chhoot gayi hogi,no_category,0,no_sub_category
padmavati ka dusra khoon sunkar kano se khoon nikalne waala aur deepika ko dekhte hi vomiting koi itni ugly kesi dikh sakti hai bhai,no_category,0,no_sub_category
punjabion ne punjabion ko maara isliye nahi jataya aap ne kisi ne nahin kaha tha apne hi zaat paat muhallay ki aurton ka rape karo kisi ne nahin kaha tha aik doosre ke talwaaron se shaheed kar do ab is main koi aur kia kare jo punjabion ne khud aik doosre ke saath kia,no_category,0,no_sub_category
bhai wo hate story ki stages hoti hn,no_category,0,no_sub_category
deepikapadukone ne srk ko attitude dikhaya tha,no_category,0,no_sub_category
better hai sab milke kuch accha socho acchi sarkar yuva sarkar banao kuch progress karo milke jisse desh ki taraqqi ho,no_category,0,no_sub_category
bhai movie nai dekhi par sanjay leela ko jaante hai aapko agar pata hota kei ye saab raajput se nafrat kyu krte hai or ek baar nai ye apni kai filmo me raajput o ko nicha dikhane ka koi moka nai chodte to aap ye bakwaas nai krte,no_category,0,no_sub_category
lol maine pura thread kiya tha wo dekha nai karma is real,no_category,0,no_sub_category
lekin tum sab log personal hate ki wajah se chutiyapa karte ho,no_category,0,no_sub_category
se cancer k mareez k elaj karwane lahor jane wale mutadid sheri panjab poliec k hate chad gai,no_category,0,no_sub_category
mai bahut respect kar tha deepikapadukone ko dilwale k phele tak jab usne challengeaccepted ka tweet dala tabse aj tak hate h hate krta hun aur karta rahunga kismat badi kutti cheez hai saali kabhi bhi palat jaati hai kabhi nhi bholunga jab tak h jan,no_category,0,no_sub_category
ye deekho ek aur farzi rashtravadi isko muslims ka cencus yaad hoga aur pure world ka history bata dega islam majority terrorism non secular yahi samjayega hindu bachao yahi chilayega hahaha,no_category,0,no_sub_category
koii school ka imtihaan nhi,no_category,0,no_sub_category
fir bhi hindu terrorism secular logonko najar ata hai aur yoga me communalism safronisation unka yoga virodh hindu virodh nahi secularism shanti sandesh samazna chahiye,no_category,0,no_sub_category
ravish sachcha suchcha journalist hai aur bjp ko sachche imaandaari aur budhdhijeevi intelligent aur achhe logon se nafrat hai extra ordinary loud voice aur zehreele shabd istemaal karengehar waqt gussie me rahengeye kya sanskaarlarisa culture haibure log buri soc,no_category,0,no_sub_category
oooo hello jo bhi serial dekhke hina ke fan the wo sab log aaj hina ho hate karne lage he log ab samaj lo tum hin salmanji ne bhi aaj hina ki bajai lagta he dekha nahi he kutti he hina,no_category,0,no_sub_category
tum ne dekha ho ga k kanta lagny per log phool ko b phenk dety hain love u,no_category,0,no_sub_category
ham likhte hi aisa hai ki khoon garam ho jaae khikhikhi khair yah bas mera imagination hai as a writer baaki om raut ne apna likha hoga kuch alag,no_category,0,no_sub_category
ram ko kalpanik bolne wala aur ye kehne wala ki jo mandir jaate hai wo ladkiya chedte hai aisa kutta ab temple run khel raha hai,no_category,0,no_sub_category
ye to hinduo se nafrat karta hai nafir mandir k dhakke kyuisse astha se koi mtlb nahi elections se hai,no_category,0,no_sub_category
achchha indian hindu n achchha indian muslim kabhi bhi ekdusre ke liye dil me nafrat nahi rakhtasir aap aise comments ko ignore karein pls,no_category,0,no_sub_category
koi tiger ka khoon kar do humari nhi to kisi ki nahi,no_category,0,no_sub_category
jiska khoon ek movie free mein dekhne ke liye ufaan maare wo rajput,no_category,0,no_sub_category
jo bina zyaada load liye movie dekhne jaae wo moviegoer,no_category,0,no_sub_category
jo twitter pe support boycott ka trend kare wo chutiye,no_category,0,no_sub_category
hina khan ek murder bhi kar degi toh bolegi maine use jaan lene ke liye nahi maara aise hi goli chalakar dekh rahi thi uspe,no_category,0,no_sub_category
sir jaipurpolice humare rajput bhai amitsingh ka khoon,no_category,0,no_sub_category
sir jaipurpolice humare rajput bhai amitsingh ka khoon ufaan maar raha hai kuch ho sakta hai kya pictwittercomwfsqwnuh,no_category,0,no_sub_category
ise dekh kar jiska khoon na khole or wo cheepikians ko support kare to wo chutiya,no_category,0,no_sub_category
india wale sab arshi ko hate karte h,no_category,0,no_sub_category
dil sambhal ja zara phir mohabbat karne chala hai tu murder,no_category,0,no_sub_category
hate them sare marks yahin jate hain bc kisi ko kuch nahi ata,no_category,0,no_sub_category
hate ya na hate abdullah india me hoke v pok pakistan ka batate hai aur tere jese kodi ki congi chudail wahi kahegi jo congress karti ayi hai tujhe v lagta hai halala ki aadat pad gyi hai islie esa bol rhi hai,no_category,0,no_sub_category
